item_id,deposit,monthly_rent,district_uuid,room_qty,unit_area,has_elevator,building_floor_count,unit_floor,has_storage_area,property_age
04cf271c-55d2-47c2-93cb-083f7f48801c,72000000,0,b790f536-c274-4147-86e0-94d9b6d7352d,1,42,FALSE,,3,FALSE,4
04d6b08b-b907-4976-8c4c-e1363973d259,72000000,0,58e59fa9-9947-478f-9cef-bc6a2cbe49a9,1,53,FALSE,,2,TRUE,25
04e32eff-d5bf-4eb6-9759-7cf8b3460cbc,183600000,0,c2ab0a0e-c71b-4218-90db-16095a39983e,2,84,TRUE,4,3,FALSE,6
051338b6-9091-45c0-88c5-336c97455307,18000000,1116000,9cd61fc2-0d82-4ac3-bf4e-fe2b8d67475b,1,74,FALSE,,1,TRUE,30
05149c9d-0b77-4f8b-b125-0de7ce5f1b4b,36000000,3600000,1c10c124-59c8-4f0f-954d-1b1993c1c01b,2,77,FALSE,,1,FALSE,14
0523fd59-16b2-4bb2-95e5-c1bb44b0270c,108000000,0,3aae86bb-e1c4-4fef-bfbc-ef1cf94e44ae,2,109,FALSE,,0,FALSE,9
05241389-deb3-4cb5-9282-2d953b2e6b0b,82800000,0,b790f536-c274-4147-86e0-94d9b6d7352d,2,68,FALSE,,3,TRUE,24
05261bf2-210d-4d99-910d-e021f73639bb,79200000,0,9cd61fc2-0d82-4ac3-bf4e-fe2b8d67475b,1,63,FALSE,,1,TRUE,12
053bf4b0-8f50-4b0b-82e4-ceb099094b1b,108000000,720000,97780d3b-5100-46f7-a005-e06862d0e083,2,84,FALSE,3,1,TRUE,26
05410d19-901e-40ec-9424-e0b158924039,43200000,1440000,d9f0b657-70df-48cd-a935-6bb848cb34b0,2,79,FALSE,4,1,TRUE,15
054db108-8bbd-4723-8b20-305b8d7728cc,72000000,4680000,ceeac06a-a89d-4934-98a8-e6183ef0a0e9,3,134,FALSE,,1,TRUE,14
0552ec72-b46c-4b5b-9178-6f915ee66392,36000000,1332000,9113051b-540b-42b0-94ee-2542e800d071,1,70,TRUE,,5,TRUE,4
055bd03f-4758-4e0b-bdb1-b4d3de4cbb9f,208800000,0,1c10c124-59c8-4f0f-954d-1b1993c1c01b,3,95,FALSE,4,0,TRUE,20
057f1c30-8692-41e6-b5e9-bb91113d62e8,108000000,0,0a698943-b70c-43b7-aabd-15de1f43d392,1,64,TRUE,5,1,TRUE,13
057fb35f-d8b5-4c2d-b592-bcc605571d1c,36000000,1800000,ee38804f-d4f3-489e-840a-9bcedbb534fb,1,79,FALSE,4,2,TRUE,19
058bec18-78c3-4d68-9634-2db25409e333,144000000,1584000,402a922d-d082-4d13-8266-2bad33cb537c,2,95,TRUE,5,4,TRUE,2
0592f627-31b7-4ebc-bbbe-339c62102409,79200000,0,9113051b-540b-42b0-94ee-2542e800d071,1,54,FALSE,4,4,TRUE,9
0593092d-d1f5-4069-83c3-1409167b944c,79200000,0,eb88325f-5388-4cf5-99ad-3c6295a105e9,1,50,FALSE,,1,TRUE,10
05be203f-0f81-4c40-bb48-7d56b830bb36,158400000,0,a33cd69d-8ce7-4aa3-8def-668f29d41d92,2,74,FALSE,4,3,TRUE,17
05d30b74-0f9f-40b8-8b69-e4ce80bfb5eb,82800000,1080000,0463c357-b4ef-49ed-9327-fcba2397ef6d,2,84,FALSE,,3,FALSE,10
05f77b48-c881-4bb1-b12c-5b61fc9b6054,14400000,1440000,eb88325f-5388-4cf5-99ad-3c6295a105e9,1,53,FALSE,4,4,TRUE,15
05fb1b7e-bfe4-44b0-b25f-7512e87b3b9e,46800000,936000,9113051b-540b-42b0-94ee-2542e800d071,1,68,FALSE,4,4,TRUE,19
05fd4ec2-2d71-47d3-98d9-bec67bbf0e7d,28800000,1080000,b790f536-c274-4147-86e0-94d9b6d7352d,1,53,FALSE,3,1,TRUE,9
0605434e-db38-4384-b3c4-5469b57f1d97,100800000,3024000,acabe5ae-3b3b-440d-ba23-4361baa18b37,3,100,FALSE,,1,TRUE,14
060b259b-cf91-46e8-bb92-8831eb1d8bb9,97200000,0,5670dcea-176c-4a2f-b589-957f9a2580d1,2,63,FALSE,,4,TRUE,21
062b949b-b907-40e3-9f5f-b54bb85bfd75,36000000,1296000,3ac48cb3-a697-4d94-a97c-3055f1ad4790,1,55,FALSE,,3,TRUE,12
062ed815-fb0b-4b31-bed5-b084c4db4f94,72000000,1080000,fd5ad07f-14b2-4491-aeb3-31651e92e1fd,1,63,TRUE,5,5,TRUE,5
0654b7cd-8956-4bbf-b940-8bd9f4c02ebf,28800000,3240000,acabe5ae-3b3b-440d-ba23-4361baa18b37,2,95,FALSE,,3,TRUE,24
065ebd71-5b81-41c8-bf69-42dd1b6bbe6b,165600000,0,e9b5683c-4ca2-4734-8b7f-400e261ad559,2,89,TRUE,5,1,TRUE,0
0661ebcc-bde4-42d1-9d88-8bb2bced0887,57600000,2160000,a33cd69d-8ce7-4aa3-8def-668f29d41d92,2,74,FALSE,3,0,TRUE,16
06679755-78d1-4ecd-bbe4-6bf20c960885,72000000,432000,0a698943-b70c-43b7-aabd-15de1f43d392,1,61,FALSE,,1,FALSE,10
06992860-08bb-4279-b8bb-92e27b8cc139,72000000,3528000,2d6e09d4-16b9-4a30-9bf2-0a0f6ecd00eb,2,95,TRUE,4,1,TRUE,14
06b48e74-dbee-4b62-bb2f-9cdbd3fcbef8,72000000,0,340fb2dc-2d83-44b2-9140-0451bdae3b17,1,53,FALSE,4,4,TRUE,16
06b69b77-2d24-478c-b964-23555b86dc98,68400000,0,e15378f5-652b-4c49-9c25-6e9f8414d5e7,2,59,TRUE,5,5,TRUE,15
06b8e165-0885-4e7d-bb13-7e523e370801,36000000,1440000,991229e4-506e-48d6-942d-306001bb240c,1,47,FALSE,4,3,TRUE,10
06b96db2-29b8-438f-b23e-ec8180bd2dd3,108000000,2160000,f87d8394-ecc7-40e3-b176-7ba45bde268e,2,102,TRUE,5,5,TRUE,9
06bcdf81-fbf7-4bc4-93df-e37d824e63e9,108000000,0,b63ee600-5ef4-471d-a9a8-5cdd2432c6ac,1,53,TRUE,4,3,TRUE,7
06be1669-0019-4b50-85be-d00c3e35e2c0,86400000,0,e15378f5-652b-4c49-9c25-6e9f8414d5e7,1,59,FALSE,,1,TRUE,15
07007382-0fbb-4301-b67b-4b2db4bbbe4f,28800000,1080000,97780d3b-5100-46f7-a005-e06862d0e083,1,53,FALSE,1,0,FALSE,30
0700dbb0-31b4-4309-bbb6-b15e7c4ddef9,36000000,2160000,ceeac06a-a89d-4934-98a8-e6183ef0a0e9,1,58,FALSE,4,2,TRUE,16
07037742-346f-4c1d-b2c4-72e5e7f50bb4,36000000,2016000,97c9535e-3985-47ce-a84c-a962c838a76b,1,49,FALSE,4,3,TRUE,17
070c957f-30db-491c-b8c8-fbcf0183ec74,36000000,1080000,289470b4-d669-4ef3-803b-b6250a4b966c,1,42,FALSE,4,2,TRUE,15
0713f671-6d11-4358-b8db-02b984cbe52e,165600000,0,fd5ad07f-14b2-4491-aeb3-31651e92e1fd,2,76,TRUE,5,1,TRUE,15
0714840f-f015-4e4f-b011-5f036dbe37ce,115200000,0,4ae65f23-941f-487a-b678-8b33cae42a39,1,63,FALSE,3,3,TRUE,1
0715746f-b932-4f2e-b213-e2e8f866d6dc,180000000,0,885c3202-268d-483d-84e2-adc88cf9c7f8,2,105,FALSE,,1,FALSE,30
0721de53-588d-4bd9-b7fc-83c6399bd2c3,165600000,0,fd5ad07f-14b2-4491-aeb3-31651e92e1fd,2,116,FALSE,3,2,TRUE,25
0728c319-b89b-4140-8de7-18ed0be49385,21600000,1800000,f9659f99-06e9-4f58-8402-3138acb47923,2,74,FALSE,,1,FALSE,24
072d9371-5017-4cf6-bdb7-77bb2e4c4bcd,57600000,0,d9f0b657-70df-48cd-a935-6bb848cb34b0,1,42,TRUE,,3,TRUE,7
072db2c0-5097-44bb-8267-8be50c225b89,237600000,0,6cce06a4-9f72-42b6-abdc-52374d2c2428,3,210,FALSE,4,4,TRUE,16
0730d82b-64b9-4778-96ef-b2d19bb33e02,57600000,3960000,daf1ac9c-719f-4c56-a264-f1758f071635,3,147,TRUE,,7,TRUE,10
073900bb-c1c8-47cc-9c95-3b197f80c2f9,46800000,432000,80aa3b0d-de2b-4703-b6ae-539eaf06f253,1,46,FALSE,,1,FALSE,17
073cd4fb-dd8b-4f38-b420-b139d076bfe7,57600000,1512000,0a698943-b70c-43b7-aabd-15de1f43d392,2,63,TRUE,,3,TRUE,17
07402409-5389-43bc-9bc4-219391896bcd,122400000,0,0463c357-b4ef-49ed-9327-fcba2397ef6d,2,70,FALSE,4,4,TRUE,16
0763ee2b-882b-4efb-b0b3-b76b8c45b3b9,172800000,0,3407b7ba-a275-4ab7-bc13-28b08a54c028,2,79,TRUE,5,2,TRUE,2
076e5d6b-5ccf-4564-b897-43566bbed28c,25200000,936000,b790f536-c274-4147-86e0-94d9b6d7352d,1,45,TRUE,,1,FALSE,3
07732e26-d6cb-43d3-8fb3-5570927bf94b,115200000,0,80aa3b0d-de2b-4703-b6ae-539eaf06f253,2,79,FALSE,3,3,TRUE,29
077c5442-cc71-4e78-956e-25553531dd9e,187200000,0,bed1acc9-2435-42f4-8677-4946abee0391,2,95,TRUE,,2,TRUE,13
077edcf4-2d98-4039-bf43-22ccffd4b6be,122400000,0,a655e097-ec60-4b2c-9187-91232457b4a3,2,74,FALSE,5,4,TRUE,21
